Symbol	Scientific Name	Common Name	Fact Sheets	Plant Guides
ABAM	Abies amabilis	Pacific silver fir	 	doc pdf
ABBA	Abies balsamea	balsam fir	doc pdf	 
ABCO	Abies concolor	white fir	doc pdf	doc pdf
ABGR	Abies grandis	grand fir	 	doc pdf
ABLA	Abies lasiocarpa	subalpine fir	 	doc pdf
ABFR3	Abutilon fruticosum	Texas Indian mallow	doc pdf	 
ACKO	Acacia koa	koa	doc pdf	 
ACKO2	Acacia koaia	koaoha	doc pdf	 
ACAN11	Acaciella angustissima	prairie acacia	 	 
ACAN	Acacia angustissima		doc pdf	 
ACANH2	Acaciella angustissima var. hirta	prairie acacia	 	 
ACANH	Acacia angustissima var. hirta		 	doc pdf
ACCI	Acer circinatum	vine maple	 	doc pdf
ACGI	Acer ginnala	Amur maple	 	doc pdf
ACGL	Acer glabrum	Rocky Mountain maple	 	doc pdf
ACMA3	Acer macrophyllum	bigleaf maple	 	doc pdf
ACNE2	Acer negundo	boxelder	 	doc pdf
ACRU	Acer rubrum	red maple	doc pdf	doc pdf
ACSA2	Acer saccharinum	silver maple	doc pdf	doc pdf
ACSA3	Acer saccharum	sugar maple	 	doc pdf
ACMI2	Achillea millefolium	common yarrow	doc pdf	doc pdf
ACMIO	Achillea millefolium var. occidentalis	western yarrow	doc pdf	doc pdf
ACHY	Achnatherum hymenoides	Indian ricegrass	 	doc pdf
ACLE8	Achnatherum lemmonii	Lemmon's needlegrass	doc pdf	 
ACNE9	Achnatherum nelsonii	Columbia needlegrass	 	doc pdf
ACOC3	Achnatherum occidentale	western needlegrass	 	doc pdf
ACSP12	Achnatherum speciosum	desert needlegrass	doc pdf	 
ACTH7	Achnatherum thurberianum	Thurber's needlegrass	 	doc pdf
ACSP3	Achyranthes splendens	Maui chaff flower	doc pdf	 
ACCA4	Acorus calamus	calamus	doc pdf	 
AEAM	Aeschynomene americana	shyleaf	doc pdf	 
AECA	Aesculus californica	California buckeye	 	doc pdf
AEGL	Aesculus glabra	Ohio buckeye	 	doc pdf
AGSC	Agastache scrophulariifolia	purple giant hyssop	doc pdf	doc pdf
AGGR	Agoseris grandiflora	bigflower agoseris	 	doc pdf
AGHE2	Agoseris heterophylla	annual agoseris	 	doc pdf
AGCR	Agropyron cristatum	crested wheatgrass	doc pdf	doc pdf
AGDE2	Agropyron desertorum	desert wheatgrass	doc pdf	doc pdf
AGFR	Agropyron fragile	Siberian wheatgrass	doc pdf	doc pdf
AGEX	Agrostis exarata	spike bentgrass	doc pdf	 
AGGI2	Agrostis gigantea	redtop	doc pdf	doc pdf
ALSU	Alisma subcordatum	American water plantain	doc pdf	 
ALBIB	Allium bisceptrum var. bisceptrum	twincrest onion	 	doc pdf
ALHY	Allium hyalinum	glassy onion	 	doc pdf
ALUN	Allium unifolium	oneleaf onion	 	doc pdf
ALGL2	Alnus glutinosa	European alder	doc pdf	 
ALIN2	Alnus incana	gray alder	 	doc pdf
ALINR	Alnus incana ssp. rugosa	speckled alder	 	doc pdf
ALRU2	Alnus rubra	red alder	 	doc pdf
ALSE2	Alnus serrulata	hazel alder	doc pdf	 
ALVIS	Alnus viridis ssp. sinuata	Sitka alder	doc pdf	doc pdf
ALAR	Alopecurus arundinaceus	creeping meadow foxtail	 	doc pdf
ALDE	Alyssum desertorum	desert madwort	doc pdf	 
AMAL2	Amelanchier alnifolia	Saskatoon serviceberry	 	doc pdf
AMALS	Amelanchier alnifolia var. semiintegrifolia	Saskatoon serviceberry	doc pdf	doc pdf
AMAR3	Amelanchier arborea	common serviceberry	 	doc pdf
AMCA4	Amelanchier canadensis	Canadian serviceberry	 	doc pdf
AMUT	Amelanchier utahensis	Utah serviceberry	doc pdf	doc pdf
AMBR	Ammophila breviligulata	American beachgrass	doc pdf	doc pdf
AMCA6	Amorpha canescens	leadplant	doc pdf	doc pdf
AMFR	Amorpha fruticosa	false indigo bush	 	doc pdf
AMBR2	Amphicarpaea bracteata	American hogpeanut	 	doc pdf
AMMU2	Amphicarpum muehlenbergianum	Muhlenberg maidencane	 	doc pdf
ANCA4	Andropogon capillipes	chalky bluestem	 	doc pdf
ANGE	Andropogon gerardii	big bluestem	doc pdf	doc pdf
ANGL2	Andropogon glomeratus	bushy bluestem	 	doc pdf
ANGYG	Andropogon gyrans var. gyrans	Elliott's bluestem	 	doc pdf
ANHA	Andropogon hallii	sand bluestem	doc pdf	doc pdf
ANTE2	Andropogon ternarius	splitbeard bluestem	doc pdf	doc pdf
ANVI2	Andropogon virginicus	broomsedge bluestem	doc pdf	doc pdf
